"","Openness","Conscientiousness","Extraversion","Agreeableness","Neuroticism","BMissing","CMissing","Attrition","Age","Gender","Education"
"1223",4.25,1.25,2.5,4.25,2.25,0,0,0,61,0,1
"1224",2.25,3.25,3,2.75,2.5,0,0,0,61,1,0
"1225",3.5,4.75,4.5,4.25,2.25,0,1,0,61,1,0
"1226",1.5,5,4.75,4.75,1,1,0,0,61,1,0
"1227",3.5,3.5,3.25,4,1.75,0,0,0,61,1,1
"1228",2.75,5,4,4.75,3.25,0,0,0,61,1,0
"1229",2.75,3.5,3.75,4.75,1.5,0,0,0,61,1,0
"1230",1.75,4.75,4.25,4,1.25,0,0,0,61,0,1
"1231",2.5,5,2.25,3,4,0,0,0,61,1,0
"1232",2.75,4.25,2.5,3.5,2.75,0,0,0,61,0,0
"1233",2.25,5,3,3.5,2.75,1,0,0,61,1,0
"1234",4,3.75,5,4.5,1,0,0,0,61,0,0
"1235",2.5,4.75,4.5,3.75,1.5,0,0,0,61,0,1
"1236",2.75,3.75,2,3.25,3.25,1,1,1,61,1,0
"1237",2.5,3.75,2.75,4,2.75,0,0,0,61,1,0
"1238",3,4.75,4.25,3,1.5,0,0,0,61,0,1
"1239",3.5,3.75,4,3.75,1.75,0,0,0,61,0,1
"1240",4.5,4,3.75,5,3.25,0,1,0,61,1,0
"1241",3,3.75,3.5,3.5,2.5,0,1,0,61,0,0
"1242",4,4,3.75,2.75,2.5,1,1,1,61,0,0
"1243",4.75,3.25,2.25,3.75,3,0,0,0,61,1,1
"1244",3.5,3,2,3.75,3,0,0,0,61,1,0
"1245",4,2.75,2.75,3.75,3.75,0,0,0,61,1,0
"1246",3.25,4.75,3.25,4.25,1.25,0,0,0,61,0,1
"1247",3.25,2,2.75,3,3.25,0,0,0,61,1,1
"1248",4.75,4.25,4,4,2.25,0,0,0,61,0,1
"1249",3.25,4.5,4,3.75,1.5,0,0,0,61,0,0
"1250",3.5,5,2.25,2.75,1,0,0,0,61,0,1
"1251",2.75,3.75,2.25,4,3,0,0,0,61,0,0
"1252",4.25,4,3,4.75,1.75,0,0,0,61,1,0
"1253",3.5,5,3.5,3,2.25,1,1,1,61,1,0
"1254",3.5,5,4.75,3.75,2.25,0,0,0,61,1,1
"1255",2.25,4,3,3.25,3.5,0,0,0,61,0,0
"1256",3.5,2.5,3.5,3.5,2.75,0,0,0,61,0,1
"1257",2.75,4.75,4.5,4.25,3.25,1,1,1,61,1,1
"1258",1,4.75,2.5,4,3,1,1,1,61,1,0
"1259",2.5,5,2.5,4.25,1.25,0,0,0,61,0,0
"1260",3.5,4.5,4.25,4.5,2.25,0,0,0,61,1,1
"1261",3.25,3.25,1.75,2.75,2.25,0,0,0,61,0,1
"1262",3.5,4.25,3,4.25,1.25,0,0,0,61,0,1
"1263",3.25,5,4.25,3.5,3.5,0,0,0,61,0,0
"1264",4.5,5,5,4.5,1.25,0,0,0,61,1,1
"1265",4.75,4.5,4.25,5,1.25,0,0,0,61,1,1
"1266",3,3.75,2,3.25,2.5,0,0,0,61,0,0
"1267",4.5,3.25,2.25,3,4,0,0,0,61,0,1
"1268",4,3.75,3,4.25,2.25,1,1,1,61,1,1
"1269",4.75,3,2.5,4,2.25,0,0,0,61,1,0
"1270",2.25,4,1.25,3,3.75,0,0,0,61,0,1
"1271",4.25,2.75,2.5,3,3.5,1,1,1,61,1,0
"1272",2.5,4.25,4.75,4.5,1.5,0,0,0,61,0,0
"1273",4.5,3.75,2.75,3.25,2,0,0,0,61,1,1
"1274",3,5,3.5,3,3,0,1,0,61,0,0
"1275",2.25,5,2.75,4.25,3,0,1,0,61,1,1
"1276",3,3,2.75,3,3,0,1,0,61,0,0
"1277",3,4,2.5,3.5,1,0,0,0,61,0,0
"1278",3.25,3.25,4.25,3.5,2.75,1,1,1,61,1,1
"1279",4.75,4.5,2.75,4.75,2.25,0,0,0,61,1,0
"1280",3.5,3,3,3,3,0,0,0,61,0,0
"1281",3.5,3.75,3.75,3.5,2.5,0,0,0,62,0,1
"1282",5,3.5,3,3.5,2.25,1,1,1,62,0,1
"1283",3.5,3.5,3,3,3.25,1,1,1,62,0,0
"1284",5,4.75,3.25,4.75,1.75,0,1,0,62,1,1
"1285",3.25,4.75,5,4.25,1,1,1,1,62,1,0
"1286",3.5,4.5,4.25,4,1.5,1,0,0,62,0,0
"1287",2.5,3.75,1.75,4.25,3.25,0,1,0,62,0,1
"1288",5,3.25,2.75,4.75,4,0,0,0,62,1,1
"1289",3.25,4.5,2.25,3.5,2.75,0,0,0,62,1,1
"1290",4,3.75,2,4,1.5,0,0,0,62,0,0
"1291",2.75,4.25,3.25,3.5,2.75,0,0,0,62,0,1
"1292",4.25,4,2.25,4,3.75,1,0,0,62,1,1
"1293",3.25,2.5,3.75,3.5,1.75,1,0,0,62,0,0
"1294",3.25,3.25,4.5,4.5,1,0,0,0,62,0,1
"1295",3,3.75,2.75,4,2.25,0,0,0,62,1,1
"1296",3,3.5,1.25,4,1.25,0,0,0,62,1,0
"1297",2.75,5,1.75,3,1.25,0,0,0,62,1,0
"1298",2,4.25,3.75,2.75,2,0,0,0,62,0,0
"1299",4,4.75,3.25,4.75,1,0,0,0,62,0,0
"1300",4.25,3.75,4.75,4.75,1.75,0,0,0,62,0,0
"1301",4.5,4.5,3.5,3.75,1.75,0,1,0,62,0,1
"1302",3.25,2.75,2.75,3,3,0,0,0,63,0,0
"1303",2,5,3.25,3,3,0,0,0,62,1,1
"1304",3,3,3,3,3,1,0,0,62,0,0
"1305",1,4.25,1.5,2.5,2,0,1,0,62,1,0
"1306",3.25,3.25,2,2.75,3,0,0,0,62,0,0
"1307",2.5,4.5,3.5,2.5,2.25,1,1,1,62,0,1
"1308",3,3.75,4.25,4,3,0,0,0,62,0,0
"1309",2.5,4.25,2.75,4.5,2.75,1,0,0,62,1,1
"1310",2.75,4.5,4,4.75,2.5,0,0,0,62,1,1
"1311",4,3.75,2.5,1.75,2,1,1,1,62,0,0
"1312",3,3.25,2.5,3.25,2.5,0,1,0,62,0,0
"1313",4.5,5,4.25,5,4.75,0,0,0,62,1,0
"1314",3,4.5,4.75,4.5,2.25,0,1,0,62,1,0
"1315",3.25,4,3.5,3.5,2.5,1,1,1,62,1,0
"1316",2.75,3.5,1.75,2.75,3,0,0,0,62,0,1
"1317",4,5,2,3.5,3.5,0,0,0,62,1,0
"1318",5,4.25,4.5,5,3.5,0,0,0,62,1,1
"1319",1.25,3.25,4,3,1,0,0,0,62,0,1
"1320",2.25,4,2.5,4.25,2,0,0,0,62,1,0
"1321",3.5,2.75,3,4.25,2,0,0,0,62,0,0
"1322",4.75,2.5,4.5,4,3.25,1,1,1,62,0,0
"1323",3.25,2.75,4,4.5,3.25,1,1,1,62,1,0
"1324",3.5,3.75,2.5,2.5,3.5,0,0,0,62,0,0
"1325",1.75,3,4.5,2.5,3.75,0,0,0,62,0,0
"1326",1.25,4.75,2.75,3.25,4.25,0,0,0,62,1,0
"1327",2.5,4.5,3.25,3,1.5,1,0,0,62,0,0
"1328",2.25,4.5,2.5,3.25,3,1,0,0,62,0,0
"1329",2.25,4.5,2.5,3.75,2.5,0,0,0,62,0,0
"1330",2.75,3.75,4,3.75,2,1,1,1,62,0,0
"1331",3.25,4.25,3.75,3.25,2.75,0,0,0,62,0,0
"1332",3.25,5,3.5,4.75,3.75,0,0,0,62,1,0
"1333",4,3.75,3,3.25,3.5,0,0,0,62,0,0
"1334",3.75,3.75,3,3.5,2.75,0,1,0,62,0,0
"1335",2.75,3.75,3.75,3.75,1.75,0,0,0,62,0,1
"1336",3.25,4.5,4.5,2.5,1.5,0,0,0,62,1,1
"1337",4.5,4,5,4.5,3.25,0,0,0,62,1,0
"1338",2.25,3.25,3.25,3.5,3.25,0,0,0,62,0,1
"1339",4.75,4.5,4.25,3.5,2.25,0,1,0,62,1,1
"1340",3,4.5,2.75,3.25,2.25,0,0,0,62,0,1
"1341",2.75,3,3,5,2,0,0,0,62,1,1
"1342",3.25,3.75,3.75,4,2,0,0,0,62,0,1
"1343",3,4.25,3.25,4.75,1.25,0,0,0,62,1,1
"1344",4.75,2,2.75,4.5,1.25,0,0,0,62,0,1
"1345",3.75,3.5,3.5,4.25,2.5,0,0,0,62,0,0
"1346",2.75,4.75,1,2.5,1.75,0,0,0,62,0,0
"1347",3.25,4,4.75,3.75,2.75,1,0,0,62,1,1
"1348",3.5,3,4.25,4.25,1,0,0,0,62,1,1
"1349",2.75,4.75,3,4,2,0,0,0,62,0,0
"1350",3.5,2.75,3.25,4.25,2.75,0,0,0,62,1,1
"1351",2.5,5,3.75,5,1.75,0,0,0,62,1,0
"1352",2.75,4.75,3.5,5,2.75,0,0,0,62,1,0
"1353",4,4,5,4.5,2.75,0,0,0,62,0,0
"1354",4.25,4.25,3.25,4,2.25,0,0,0,62,0,1
"1355",2.75,3.75,2.5,3.25,3.25,0,0,0,62,0,0
"1356",3.25,4.75,3.75,4.5,1.25,0,1,0,62,1,1
"1357",2.25,4.5,4,4,2.5,1,1,1,62,1,0
"1358",4,4.25,3.5,3,1.75,0,1,0,62,0,0
"1359",5,2.75,5,5,1,0,1,0,62,0,1
"1360",2.5,4,4,4.75,2,0,0,0,62,0,1
"1361",4.5,4.75,3.25,4.75,1.75,0,0,0,62,0,1
"1362",4.25,4,4.25,4,3,1,1,1,62,1,0
"1363",3.5,4.75,4.25,4.5,1.25,0,0,0,62,1,1
"1364",3.25,4.5,4.25,3.25,2.25,1,0,0,62,1,1
"1365",2.5,4.5,2,4,3,0,0,0,62,1,0
"1366",4,3.25,3.25,4.25,2.75,1,1,1,62,0,1
"1367",3.5,4.25,2.75,2.75,1.5,0,0,0,62,0,1
"1368",3.75,3.25,3.75,3.75,2.75,0,0,0,62,0,1
"1369",2.75,4.5,1.75,3,3.25,1,1,1,62,1,0
"1370",3.75,4,3,3.75,1,0,0,0,62,0,1
"1371",4.25,3.5,4.25,3,3,0,0,0,62,0,1
"1372",3,3,2.5,4,2.25,1,1,1,62,0,1
"1373",2.75,4.75,2,3.75,2,1,0,0,62,1,0
"1374",5,3.5,1.25,4,2.25,0,0,0,62,0,1
"1375",3.75,2.5,2,4.75,1,0,1,0,62,1,1
"1376",3,4.75,3.25,3,2,0,0,0,62,0,0
"1377",5,4.25,3,5,1.75,0,0,0,62,1,0
"1378",2.5,5,3.25,4,2,0,0,0,62,1,0
"1379",3.25,3.75,3.75,3.75,2.25,0,0,0,62,0,0
"1380",3.5,2.75,2.75,4.5,3.25,1,0,0,62,1,0
"1381",5,3.5,2.25,4.25,3.25,0,0,0,62,0,1
"1382",3.5,3.25,3,3.75,2,1,1,1,62,0,0
"1383",2.75,3,2.25,3.5,1.75,0,1,0,62,0,0
"1384",5,4,3.5,3.75,1.25,0,0,0,62,0,1
"1385",3.5,4.25,3.25,2.25,3.75,1,1,1,62,0,0
"1386",3.75,4,3.75,4.75,1.25,0,0,0,62,0,0
"1387",3.75,3.5,4.5,4.5,1,0,0,0,62,0,1
"1388",2.75,3.75,4.25,4.5,2,0,0,0,62,0,0
"1389",5,4,2.75,3.75,2.75,1,1,1,62,0,1
"1390",4.25,4.75,2.25,3,3,0,0,0,62,0,1
"1391",3.75,4,2.75,3.5,1.75,0,0,0,62,1,0
"1392",4.5,3,4,4.25,2.5,0,1,0,62,0,1
"1393",2.75,3.25,3,3.25,2.75,0,0,0,62,1,0
"1394",4,4.5,3,4.25,3.25,0,0,0,62,1,1
"1395",2.5,4.25,2.5,3.25,2.75,0,0,0,62,1,1
"1396",3.75,3,1.5,4.5,1,0,1,0,62,0,0
"1397",4.25,4,4.75,4.5,1,1,0,0,62,0,0
"1398",3.25,4.75,4.5,4.5,2,0,0,0,62,1,1
"1399",2.75,2.75,1.5,3.5,2.75,0,0,0,62,0,0
"1400",1,3.5,3.75,4.75,1.75,0,0,0,62,1,0
"1401",3.5,5,3.5,3.75,1.75,0,0,0,62,1,1
"1402",4,4.5,5,4.75,3.5,1,0,0,62,1,0
"1403",3.25,4.5,3,4.75,3,0,0,0,62,1,0
"1404",3,4,3.25,3.5,2.75,0,0,0,62,1,0
"1405",4,3,3,4,4,1,1,1,62,0,1
"1406",3.5,2.5,4,4.75,2.25,1,0,0,62,1,1
"1407",3.25,5,4.25,5,2.25,1,1,1,62,1,1
"1408",3,4.25,2.5,3.75,1.75,0,0,0,62,1,0
"1409",2.75,4.25,1.5,2.25,4,1,1,1,62,0,0
"1410",3,4.5,2.5,3.5,2.75,0,0,0,62,1,0
"1411",4,2.75,3,4,1.5,1,1,1,62,0,0
"1412",2.75,5,2,4.5,3.25,0,0,0,62,1,0
"1413",3,4.5,4,4.5,3,0,0,0,62,0,0
"1414",3.5,4.5,4.75,4.25,1,0,0,0,62,1,1
"1415",4.75,4.25,4,5,3.25,0,0,0,62,0,1
"1416",3.75,3.75,3.25,3.25,1.25,1,0,0,62,1,1
"1417",3.75,5,4.5,4.5,1.5,0,1,0,62,1,0
"1418",3.25,5,4.25,1.75,2.5,0,0,0,62,1,0
"1419",2,4,3.25,3.75,3.25,0,1,0,62,1,0
"1420",2,3.25,1,5,1.75,0,0,0,62,1,1
"1421",3.25,4.75,2,4.75,3,0,0,0,62,1,0
"1422",3.25,3.5,4,4,2.75,0,0,0,62,0,0
"1423",3.5,4.75,4.75,4.75,4,0,0,0,62,1,0
"1424",4,5,5,4.75,1,0,1,0,62,1,0
"1425",4,4,5,4,1,0,0,0,62,0,0
"1426",3.25,3.25,2.75,4.25,3,1,1,1,62,1,1
"1427",2.5,2.5,3.5,3,2.5,0,1,0,62,1,0
"1428",3.25,4.75,2.75,4,1.75,1,1,1,62,1,0
"1429",4.5,4.5,4.25,4.5,1.5,1,1,1,62,1,0
"1430",3.5,5,4.25,4.75,1.5,0,0,0,62,1,1
"1431",4,4,3.75,4.25,1.75,0,0,0,62,1,1
"1432",4,3,2.75,4,1.75,0,0,0,62,1,1
"1433",3.75,4,4,4.75,3.5,0,0,0,62,0,1
"1434",3.25,2.75,3.5,4,1.75,0,0,0,62,0,0
"1435",3.75,3.75,2.25,3.5,2.25,0,0,0,62,0,0
"1436",3.25,4.25,4.5,4.75,3.5,0,1,0,62,1,1
"1437",3.25,4.75,4,4.25,2.25,0,0,0,62,1,0
"1438",2.25,4.25,2,2.75,1.25,0,0,0,62,0,1
"1439",3,4,3,2.5,4,1,1,1,62,0,0
"1440",2.5,4.75,2.5,4.5,1.25,0,0,0,62,1,0
"1441",4.25,4.5,4,1.5,2.75,0,0,0,62,1,0
"1442",3.25,3,2.25,3.25,3,0,0,0,62,0,0
"1443",2.5,3.25,2.5,3.25,3.5,0,0,0,62,1,0
"1444",2.75,4.5,3.5,4,2.25,0,0,0,62,1,1
"1445",2.5,4.5,2.5,3.5,2,0,1,0,62,0,0
"1446",4.5,4,3,3.5,2.75,0,1,0,62,1,1
"1447",2.25,4.75,2.25,3.75,3.5,0,0,0,62,1,0
"1448",4.25,4.75,4.25,4.75,2,1,0,0,62,0,0
"1449",3,3.5,2.5,3.25,1.75,0,1,0,62,0,1
"1450",4,4.75,3,3.75,3.75,1,0,0,62,0,0
"1451",3.25,4.25,2.75,4,2.25,1,0,0,62,1,1
"1452",2.5,5,3,3.25,2,0,0,0,62,1,0
"1453",3.75,4.5,4,5,2.5,0,1,0,62,0,1
"1454",3.5,3.75,1.5,4.5,1,0,0,0,62,1,1
"1455",3,4.5,3.25,3.5,2,0,0,0,62,1,0
"1456",3.75,5,3.25,3.75,3.75,1,0,0,62,1,0
"1457",5,4.5,2.25,4.75,2.25,0,0,0,62,1,1
"1458",2.5,3.75,4,4.5,1.5,0,0,0,62,1,0
"1459",3.75,3.75,2.75,4,2.75,0,0,0,62,1,1
"1460",5,4.5,2.25,4.75,1,0,0,0,62,1,0
"1461",4.5,4.5,4.5,4.25,2.75,0,0,0,62,1,1
"1462",4.5,5,4.25,4.75,2.25,0,0,0,62,1,1
"1463",3.25,5,3.75,4,1.75,0,0,0,62,1,1
"1464",3.25,2.75,3.75,4.5,2.25,0,0,0,62,1,1
"1465",4,5,4.25,4.75,1,0,0,0,62,1,0
"1466",3.5,4.75,4.25,4.25,2,0,0,0,62,1,1
"1467",2.75,3,3.25,4.5,2.5,0,0,0,62,1,0
"1468",3.75,4.75,4.75,3.75,2.5,0,0,0,62,0,1
"1469",2.25,4,4.75,3.75,1,1,1,1,62,1,0
"1470",2.25,1.5,3.75,2,3.5,1,0,0,62,0,0
"1471",5,4.25,5,5,2.5,0,0,0,62,0,0
"1472",4,4.25,4.25,4,2.75,0,0,0,62,0,0
"1473",3.75,2.75,1.25,3.5,1.75,0,0,0,62,0,0
"1474",2,3.25,3,3,3,0,0,0,62,1,0
"1475",3.25,5,4.25,2.75,3.25,0,0,0,62,1,1
"1476",4,3.5,3,4.75,2.75,0,0,0,62,1,0
"1477",4,4.5,4.25,5,2,0,0,0,62,1,1
"1478",5,3.5,4.5,4,1.25,1,0,0,62,0,0
"1479",4,4.75,4.5,4,3,0,0,0,62,0,1
"1480",4.25,4.75,3,5,2.25,0,0,0,62,1,1
"1481",3.5,4.25,2.5,3.5,3,0,0,0,62,0,0
"1482",2.75,2,2,2.5,3,1,0,0,62,0,0
"1483",4.25,3.75,4.75,4.5,2.5,0,0,0,62,0,1
"1484",4.25,4.75,3.5,4.5,3.25,1,1,1,62,1,0
"1485",2.75,5,5,3.75,1,1,1,1,62,1,0
"1486",4.5,4.75,4,5,2.25,0,0,0,62,1,0
"1487",2.75,4.5,3.5,3,3.5,0,0,0,62,0,1
"1488",3,4.25,5,4.25,1.25,0,0,0,62,0,0
"1489",4.25,4,3.5,4.5,1.25,0,0,0,62,1,0
"1490",3.25,4.25,3.5,3.75,1.5,0,0,0,62,1,0
"1491",2.25,4.25,3.75,4,1.25,0,0,0,62,1,1
"1492",2.5,4.5,3.5,4,2,0,1,0,62,0,0
"1493",3.25,4,2,3.75,3.25,0,0,0,62,0,0
"1494",2.25,4.25,2.75,4,3.75,0,0,0,62,0,0
"1495",2.75,3.25,2.75,3.5,1.25,0,1,0,62,0,0
"1496",4,4.75,3.25,3.5,1,0,0,0,62,0,0
"1497",2.5,5,4.25,4.25,3.75,0,0,0,62,0,1
"1498",3,4,3.25,4.5,3.75,0,0,0,62,1,0
"1499",3.5,4.5,4.5,4.25,3,0,0,0,62,1,1
"1500",1.5,4,2,2.5,2.25,0,0,0,62,1,0
"1501",3,3.75,3.75,4.75,3.25,0,0,0,62,0,1
"1502",3.5,3.25,2.25,3,3,0,0,0,62,1,0
"1503",3.25,3,3.5,2.75,1,0,0,0,62,0,0
"1504",3.5,3.25,4,4.5,1.25,0,0,0,62,1,0
"1505",3.75,4,2.5,4.25,2.25,0,0,0,62,1,1
"1506",3,4.5,4.5,4.25,2.25,1,0,0,62,0,0
"1507",5,4.25,3.75,5,4,1,1,1,62,1,1
"1508",3.25,4.75,3.25,4.75,2.25,0,1,0,62,1,0
"1509",3.5,2.75,4.75,3.75,3.5,0,0,0,62,1,0
"1510",3.75,5,3.25,3.75,2,0,0,0,62,0,1
"1511",3.5,4,3,3,2.5,1,1,1,62,0,0
"1512",3.25,3.75,4.25,4.5,1.25,0,1,0,62,1,0
"1513",4.5,4.75,2.75,5,1,0,1,0,62,1,0
"1514",2.75,3.5,4,3.25,3.25,0,0,0,62,1,0
"1515",4,4.5,3.25,4.25,2.75,0,0,0,62,1,0
"1516",2.75,4,3.5,4,2,0,0,0,62,1,0
"1517",4,4.75,2,4.25,2.5,0,0,0,62,1,0
"1518",4.5,3.75,1.75,4.75,1.75,1,1,1,62,1,0
"1519",4.75,4.5,4.25,2.75,1.5,0,0,0,62,0,1
"1520",3.25,4.75,4,5,2.5,0,0,0,62,1,1
"1521",4.25,3.25,3.25,3.5,3,0,1,0,62,0,1
"1522",3.5,4.25,4.25,4.75,1.75,1,0,0,62,1,0
"1523",1.75,4.5,3,3.25,3.75,0,0,0,62,0,0
"1524",4,4.75,4.25,4.75,2.25,0,0,0,62,1,0
"1525",3,2.75,3.25,3,2.5,1,0,0,62,0,0
"1526",3.25,3.5,2.25,4.5,2.25,0,0,0,62,1,1
"1527",4.75,4,4.5,4,1.25,0,1,0,62,0,0
"1528",3,4.75,3,4.25,2.5,0,0,0,62,1,0
"1529",2.5,4.75,4.5,4,2.5,0,0,0,62,1,0
"1530",1.5,4.25,4.75,4.75,2.5,0,0,0,62,1,0
"1531",2.75,4,3.25,3.5,2.75,0,0,0,62,0,0
"1532",3.5,4,2.5,3.5,3.5,0,1,0,62,0,0
"1533",4.75,2.75,3.25,4.5,1.25,0,1,0,62,0,1
"1534",5,4.75,3.75,4.5,3.25,0,0,0,62,0,1
"1535",3.75,3,1.75,3.75,1.75,0,0,0,62,0,0
"1536",3,4.5,2.25,4.25,1.5,0,0,0,62,1,1
"1537",3.5,3.25,4.25,4.5,2.5,1,1,1,63,1,0
"1538",3.75,4.75,2.5,3.25,2.75,1,0,0,62,0,0
"1539",2.5,3.25,2.75,3.75,2.25,0,0,0,62,0,1
"1540",3.25,4.5,3.5,4.5,1,0,0,0,62,0,0
"1541",3.75,3.75,4,4.75,1.75,0,0,0,62,1,1
"1542",3.5,3.5,2.5,3.5,3,0,0,0,62,1,1
"1543",2.75,3.75,2.75,3,3,0,1,0,62,1,1
"1544",3.25,4.5,4.75,3.5,2,0,0,0,62,0,0
"1545",2,3.5,2,3.5,3,0,0,0,62,1,1
"1546",2.25,4.25,3,4.25,3.25,0,0,0,62,0,0
"1547",4,4.25,3,3.75,4,0,0,0,62,0,1
"1548",3,3.25,3,3.5,1,1,1,1,62,0,0
"1549",3.25,4.75,2.75,3,3,0,0,0,62,1,0
"1550",5,3.25,3.5,5,4.25,0,0,0,62,1,0
"1551",4,4.25,3.75,4.5,1.25,0,0,0,62,0,1
"1552",5,2.5,3,4,2.75,0,0,0,62,1,1
"1553",3.75,3.5,3.25,4.75,2.25,0,0,0,62,1,0
"1554",3.75,3.25,3.25,4.5,3.25,0,0,0,62,1,1
"1555",3.5,3.5,3,3.75,2.25,0,0,0,62,0,1
"1556",1,5,1,2,1,1,1,1,62,0,0
"1557",2.75,4,3.75,4.75,2.75,0,1,0,62,1,1
"1558",3.75,4.5,3.5,4.75,1.75,0,0,0,62,0,0
"1559",5,4.5,2,3.25,3,0,0,0,62,1,0
"1560",3.25,4.75,3.5,4.5,3.5,0,0,0,62,1,1
"1561",4,5,4.25,4.75,2.75,0,0,0,62,1,0
"1562",3.25,4,2.5,3.25,1.75,0,0,0,62,0,1
"1563",3.5,3.75,2.25,2.5,3,0,0,0,62,0,0
"1564",2.5,5,2.75,4.75,2.75,1,1,1,62,1,0
"1565",3.25,4,3,3.25,2.75,0,0,0,62,0,0
"1566",3,4.25,3.75,3.25,2.5,0,1,0,62,0,0
"1567",4.75,4.75,2.75,4.75,1.25,0,0,0,62,1,0
"1568",3,4.25,2.5,3.25,3.25,1,1,1,62,0,0
"1569",4,3.5,4,4.5,3.25,1,0,0,62,1,1
"1570",2,4.75,2.75,3.75,1.5,0,0,0,62,1,0
"1571",4.5,3.25,2.75,4.25,2.5,0,0,0,62,1,1
"1572",3.25,1.75,4,4.5,2.5,0,0,0,62,0,0
"1573",3,2.25,3.5,3,3.25,0,1,0,62,0,0
"1574",4,2.5,4.75,4,2.25,1,1,1,62,1,1
"1575",2.75,4,3.75,4.75,2.75,0,0,0,62,1,0
"1576",4,4.75,4.25,4.75,2.25,0,0,0,62,1,0
"1577",4,2.75,3.5,4.25,1.25,0,0,0,62,0,0
"1578",2.5,2.75,2,4.25,3.75,0,0,0,62,1,0
"1579",2.5,4.5,3.25,3,2.25,1,0,0,62,0,0
"1580",3.25,4.25,3.5,4,3,0,0,0,62,1,0
"1581",4,2.75,4.75,3.25,2.75,0,0,0,62,1,0
"1582",2.75,5,4,4.25,2.25,1,1,1,62,1,0
"1583",2.5,4,3.5,4.25,2,0,0,0,62,1,0
"1584",3.25,3.75,3,3.5,3,0,0,0,62,1,0
"1585",4.5,4.5,5,4.75,2.5,0,0,0,62,0,0
"1586",4.25,4,3,3.75,3,0,0,0,62,1,0
"1587",4.25,3.25,4.25,2.75,2,0,0,0,62,0,1
"1588",3,4,3.25,4.5,3.25,1,1,1,62,1,0
"1589",4.25,5,1.25,4.25,1.75,0,0,0,62,0,1
"1590",1.5,5,2.25,3,1,1,0,0,62,0,0
"1591",3,4.5,2.75,3.75,1.25,0,1,0,62,1,0
"1592",2.75,4.5,2.75,4.5,3,1,1,1,62,1,0
"1593",3.5,5,3,5,4,1,1,1,62,1,0
"1594",4.25,3.5,2.5,4.25,3.5,0,0,0,62,1,0
"1595",3.75,3.75,3.5,3.5,3.25,0,0,0,62,0,0
"1596",4.5,3,3,3.5,1.25,0,0,0,62,0,1
"1597",3.25,3.75,3,4.25,3,1,0,0,62,1,0
"1598",3.5,3.75,2.5,3,3,1,0,0,62,1,0
"1599",3.25,4.75,2.5,4.25,2.75,0,0,0,62,1,1
"1600",3.5,3.75,3.75,3.25,3.25,0,0,0,62,1,1
"1601",5,4,2.5,3.75,4.25,1,1,1,62,0,0
"1602",3,3,3.25,2.75,3,0,0,0,63,0,0
"1603",4.5,4,3,3.5,2,0,0,0,62,0,1
"1604",2.5,5,4.25,4.5,1.5,0,0,0,62,1,0
"1605",2.5,5,3.25,3.75,3,0,0,0,62,1,0
"1606",3.5,4.25,4,5,2.75,0,0,0,62,1,1
"1607",4,5,4.5,3.75,1,0,0,0,62,1,0
"1608",3.25,4.5,3.25,3.5,2,0,0,0,62,1,1
"1609",4,4.75,4,4,1.5,0,0,0,62,1,1
"1610",3.25,3.5,3,3.75,2.5,0,0,0,62,0,1
"1611",1,5,5,5,3.5,1,0,0,62,0,0
"1612",4.5,3.5,5,4.75,1.75,0,0,0,62,1,1
"1613",3,3,2.25,2.75,3,1,1,1,62,0,0
"1614",2.5,4,4,5,2.25,1,0,0,62,0,0
"1615",2.75,3.25,3,3.25,3,0,0,0,62,0,0
"1616",3.25,4.75,3.75,4.25,2.75,0,0,0,62,1,0
"1617",5,4.5,1,3,3,0,0,0,62,0,1
"1618",3.75,4.75,3.25,3.5,1.75,0,0,0,62,1,0
"1619",3.25,3,2.5,3,1.75,0,0,0,62,1,0
"1620",2,4,3,3.25,1.75,0,0,0,62,0,0
"1621",4.5,4,3.75,3.75,1.25,0,0,0,62,1,1
"1622",3.5,3.5,3,3.25,3.25,0,0,0,62,0,0
"1623",2.5,2.25,2.5,3,3.5,0,0,0,62,0,0
"1624",3.75,4.75,4.75,4.75,1.75,0,0,0,62,0,0
"1625",3,4.25,2.5,3.5,2.25,1,1,1,62,1,1
"1626",2,4,4.75,4.25,1.75,1,0,0,62,0,1
"1627",3,3,3.25,3,2.75,0,0,0,62,0,0
"1628",4.75,4.25,3.75,4.5,1.75,0,0,0,62,1,1
"1629",2.75,2.5,2.75,4,1.5,0,0,0,62,1,0
"1630",1.75,2.75,3,3.5,2,0,0,0,62,0,0
"1631",2.75,4.5,3.25,5,2,0,0,0,62,1,0
"1632",4.5,3.25,1.5,3.25,3,0,0,0,62,0,1
"1633",4,4.75,3.5,4.25,3.25,0,0,0,62,1,0
"1634",1.5,2.5,3,3.25,2.25,0,0,0,62,0,0
"1635",2,3.25,3,3.25,3.25,0,0,0,62,1,0
"1636",4,4.5,3.25,3.25,1,0,0,0,62,0,1
"1637",2.75,4.5,2.5,4.75,3.25,0,1,0,62,1,0
"1638",4,4.75,2.75,4,2.5,0,0,0,62,1,1
"1639",3,3.25,2,3.5,3,0,1,0,62,0,1
"1640",1.5,5,2.75,3.75,2.75,0,0,0,62,1,1
"1641",3.5,3.25,3.25,3.75,2.75,1,1,1,62,0,0
"1642",3,2.25,2.25,4.25,2.5,0,0,0,62,1,1
"1643",3.25,4.25,3,3.75,2.75,0,0,0,62,0,0
